season,club,side,n,flat,w_real,alloc_term_real,w_alloc,alloc_term_alloc
2025,PAN,engine,12,18.91175134810593,21.004255577779272,2.0925042296733416,23.07854485081878,4.166793502712849
2025,PAR,club,20,16.973183019445415,19.930574591167744,2.9573915717223294,21.294918976325228,4.321735956879813
2025,PAR,engine,12,19.215260237883403,20.210221368516915,0.9949611306335129,21.126988399141144,1.9117281612577415
2025,PRS,club,16,17.976089469753422,20.03026833671925,2.0541788669658274,22.696414470992227,4.720325001238805
2025,PRS,engine,12,19.743854804855598,21.14450592627166,1.400651121416061,22.54853964214252,2.8046848372869206
2025,RED,club,17,17.92902489063145,19.95060386180006,2.021578971168612,21.694316758965087,3.7652918683336374
2025,RED,engine,12,18.689446958623076,19.073333521389742,0.38388656276666566,20.303398757520757,1.6139517988976806
2025,TEL,club,16,19.183270292163222,20.00905993492787,0.8257896427646472,21.936165073070853,2.7528947809076314
2025,TEL,engine,12,22.09767612839215,22.548551158173375,0.4508750297812263,23.469343287327277,1.3716671589351286
2025,ULK,club,17,19.309338909936308,20.2462813031606,0.9369423932242924,22.59116796709256,3.2818290571562514
2025,ULK,engine,12,21.557512175828318,21.388780330363677,-0.1687318454646416,21.937808725996597,0.38029655016827846
2025,VIR,club,16,17.864639036870802,20.01413714774558,2.1494981108747773,22.57673646260674,4.712097425735937
2025,VIR,engine,12,18.73127116476716,18.939147019620428,0.20787585485326687,19.91146949881405,1.1801983340468887
2025,ZAL,club,14,18.59598255600473,19.996636992788435,1.4006544367837037,21.214562725549598,2.6185801695448667
2025,ZAL,engine,12,20.68707418138908,22.662056671008838,1.9749824896197588,23.558872202707885,2.8717980213188063
