season,club,n_club,n_lost,budget,q_club,q_eng,adv,n_eng,overlap,n_split,ratio,tercile
2024,ASV,16,0,14.073270363433034,100.75366166402485,120.49053223217612,0.1958923402105845,12,0,0,7.15922163520825,נמוך
2024,BAR,16,0,17.59991691861344,107.2047391464168,122.75725452371174,0.1450730210355142,12,1,0,6.09120711433805,בינוני
2024,BAS,15,0,12.95478142899614,105.17839559611768,122.19100577358049,0.1617500445889172,12,2,0,8.118886155863759,נמוך
2024,BER,20,0,13.600359884894528,91.65478216166753,115.79739989361806,0.2634081622644195,12,0,0,6.739143885704486,נמוך
2024,IST,16,0,17.332176685724676,112.23118917550518,128.48406560088162,0.1448160403964042,12,1,0,6.475308393777356,בינוני
2024,MAD,16,0,19.810230742546462,106.33832534382056,130.19640679965045,0.2243601390062355,12,2,0,5.367848902205746,בינוני
2024,MCO,15,0,16.756786430911852,103.02263323293865,128.896429023615,0.2511467138698988,12,0,0,6.148113998928163,בינוני
2024,MIL,18,0,17.84486777407168,105.29226544130545,128.65924642635005,0.2219249522945292,12,1,0,5.9004228428239465,בינוני
2024,MUN,16,0,11.632011559351708,103.44085006467614,120.59530838522537,0.1658383347567564,12,0,0,8.892774008766652,נמוך
2024,OLY,17,0,21.325045580772294,114.07006047013122,122.75040994831092,0.076096650097355,12,1,0,5.349112152565919,גבוה
2024,PAN,16,0,20.43199160369695,116.4923567338546,128.61832557396497,0.1040923986782589,12,1,0,5.701468510430308,גבוה
2024,PAR,15,0,12.071230701361428,100.8873786847468,120.59530838522537,0.1953458396620844,12,0,0,8.357671324545926,נמוך
2024,PRS,15,0,11.211659207399787,101.07963265572404,119.62801849376304,0.1835027032717322,12,0,0,9.015581974611809,נמוך
2024,RED,14,0,14.349914757351613,102.70310886657074,123.10292101095634,0.1986289642983301,12,0,0,7.157053585559096,נמוך
2024,TEL,19,0,13.7086514846965,103.96548827991204,121.56143532732148,0.1692479623626148,12,0,0,7.583932554998043,נמוך
2024,ULK,18,0,22.1581918680454,96.2430708049876,127.52896911988203,0.3250716966241389,12,1,0,4.34345326451392,גבוה
2024,VIR,14,0,14.69825672511058,100.32940087886014,122.98237184566123,0.2257859687027612,12,1,0,6.825938800446781,נמוך
2024,ZAL,17,0,12.483317044972704,93.63259775687106,121.79470396879354,0.3007724541088667,12,1,0,7.500618418930479,נמוך
2025,ASV,15,0,13.265329581029937,83.88323461171942,119.3989197998108,0.4233943213144697,12,0,1,6.3234941958529625,נמוך
2025,BAR,16,0,25.901019889980155,101.95399526052351,127.38380491813776,0.2494243564720868,12,0,1,3.9362926901563653,גבוה
2025,BAS,19,0,18.682495303404504,104.3555543335808,125.01753917495576,0.1979960240096783,12,0,1,5.585739626256677,בינוני
2025,DUB,19,0,19.609834159046788,112.98495427241696,118.44362135567825,0.0483132211577475,12,1,1,5.761647618029067,בינוני
2025,HTA,17,0,23.424579304304995,110.0969663196915,125.41102215470912,0.1390960745507719,12,0,1,4.700061627124196,גבוה
2025,IST,17,0,23.30049961167983,91.85436212782771,124.79109247894664,0.3585755710249558,12,0,1,3.942162771556363,גבוה
2025,MAD,16,0,23.63641824224325,119.0759325037891,125.41102215470912,0.0532020998510209,12,1,1,5.03781627501308,גבוה
2025,MCO,13,0,24.86130599918853,110.94063957944178,126.31061911896856,0.1385423736314475,12,1,1,4.462381806613975,גבוה
2025,MIL,18,0,24.61888570474433,102.92664356297864,121.62573018912788,0.18167391822806,12,1,1,4.180800252187837,גבוה
2025,MUN,16,0,14.338965331633975,93.97243664141058,123.82909412503028,0.3177171791080579,12,1,0,6.553641386808632,נמוך
2025,OLY,20,0,36.92842814182646,124.96879873559902,131.14489761206838,0.0494211270249651,12,2,1,3.384081181458544,גבוה
2025,PAM,17,0,15.383064203183286,112.10958356759087,119.92341439800424,0.0696981523056179,12,0,0,7.287857743218125,בינוני
2025,PAN,18,0,32.122246757907426,109.0916029964344,133.57268566339283,0.2244084970294055,12,2,1,3.3961386268717235,גבוה
2025,PAR,20,0,20.88520758133475,95.06384554701992,123.0519111883502,0.2944133543123601,12,2,1,4.551730940514047,גבוה
2025,PRS,16,0,12.943051345800663,107.80950300522156,121.29262290439866,0.1250642988171837,12,1,0,8.329527568489485,נמוך
2025,RED,17,0,23.834728690538597,108.98102429883409,125.633626067886,0.1528027642994918,12,0,1,4.572362694528805,גבוה
2025,TEL,16,0,15.907318340947883,106.10400301007697,117.56412473138164,0.1080083823059558,12,1,1,6.670137652111289,בינוני
2025,ULK,17,0,19.23597216720539,98.6571232923133,124.27348671553789,0.259650419233544,12,0,1,5.128782805191917,בינוני
2025,VIR,16,0,15.11244425525697,102.27171495904284,114.9705840889878,0.1241679494181799,12,0,1,6.767384099595068,בינוני
2025,ZAL,14,0,14.746027802402828,112.43852828772614,123.51328652585757,0.0984961152265486,12,0,1,7.625004495746615,בינוני
