season,team,total_minutes,expected_minutes,minutes_coverage,team_games,n_players
2025,PAR,6045.566666666667,7600,0.7954692982456141,38,16
2024,BER,6108.816666666667,6800,0.8983553921568628,34,18
2024,TEL,6164.033333333333,6800,0.9064754901960783,34,15
2019,RED,5112.333333333333,5600,0.9129166666666666,28,18
2025,OLY,6971.05,7600,0.9172434210526316,38,17
2024,MCO,6265.466666666666,6800,0.921392156862745,34,15
2022,ZAL,6272.233333333334,6800,0.9223872549019608,34,16
2023,MIL,6294.15,6800,0.9256102941176471,34,16
2024,RED,6337.433333333333,6800,0.9319754901960784,34,15
2018,BUD,5684.283333333334,6000,0.9473805555555557,30,18
2023,VIR,6454.733333333334,6800,0.9492254901960785,34,14
2017,BAM,5702.766666666666,6000,0.9504611111111111,30,15
2023,RED,6465.033333333333,6800,0.9507401960784313,34,17
2024,PAN,6519.133333333333,6800,0.9586960784313725,34,16
2023,BER,6555.183333333333,6800,0.9639975490196079,34,15
2022,IST,6564.833333333333,6800,0.9654166666666666,34,16
2016,MIL,5819.233333333334,6000,0.9698722222222222,30,13
2025,ULK,7378.566666666667,7600,0.9708640350877192,38,16
2025,ASV,7381.549999999999,7600,0.9712565789473683,38,15
2025,IST,7397.333333333333,7600,0.9733333333333333,38,16
2023,PAM,6621.616666666667,6800,0.9737671568627451,34,17
2016,GAL,5848.966666666667,6000,0.9748277777777778,30,15
2018,MIL,5850.116666666667,6000,0.9750194444444444,30,14
2019,OLY,5472.833333333333,5600,0.9772916666666666,28,20
2024,OLY,6645.883333333333,6800,0.9773357843137255,34,15
2016,RED,5888.85,6000,0.9814750000000001,30,13
2020,BAR,6688.9,6800,0.9836617647058823,34,17
2020,ULK,6711.483333333334,6800,0.9869828431372549,34,17
2023,IST,6718.25,6800,0.9879779411764706,34,17
2025,DUB,7509.966666666667,7600,0.9881535087719299,38,18
2023,ZAL,6732.85,6800,0.990125,34,16
2023,PAR,6748.616666666667,6800,0.9924436274509804,34,14
2025,MAD,7547.916666666667,7600,0.9931469298245614,38,16
2019,ULK,5569.566666666667,5600,0.9945654761904762,28,16
2017,MAL,5973.85,6000,0.9956416666666668,30,14
2025,MIL,7568.466666666666,7600,0.9958508771929824,38,17
2024,MIL,6787.05,6800,0.9980955882352941,34,17
2018,IST,6000.0,6000,1.0,30,13
2018,TEL,6000.0,6000,1.0,30,15
2018,MAD,6000.0,6000,1.0,30,16
2018,DAR,6000.0,6000,1.0,30,15
2020,DYR,6800.0,6800,1.0,34,16
2022,MUN,6800.0,6800,1.0,34,18
2020,ZAL,6800.0,6800,1.0,34,15
2023,BAR,6800.0,6800,1.0,34,16
2022,OLY,6800.0,6800,1.0,34,15
2022,ASV,6800.0,6800,1.0,34,16
2025,PRS,7600.0,7600,1.0,38,16
2024,PAR,6800.0,6800,1.0,34,15
2024,MUN,6800.0,6800,1.0,34,16
2024,PRS,6800.0,6800,1.0,34,15
2024,ULK,6800.0,6800,1.0,34,19
2017,BAR,6000.0,6000,1.0,30,17
2019,MAD,5600.0,5600,1.0,28,16
2019,BAR,5600.0,5600,1.0,28,15
2019,BAS,5600.0,5600,1.0,28,16
2017,BAS,6000.0,6000,1.0,30,17
2017,RED,6000.0,6000,1.0,30,17
2017,IST,6000.0,6000,1.0,30,19
2017,KHI,6000.0,6000,1.0,30,14
2017,TEL,6000.0,6000,1.0,30,13
2016,ZAL,6000.0,6000,1.0,30,13
2016,MAD,6000.0,6000,1.0,30,13
2016,BAS,6000.0,6000,1.0,30,16
2025,PAN,7600.0,7600,1.0,38,18
2025,VIR,7600.0,7600,1.0,38,16
2023,MUN,6805.466666666666,6800,1.0008039215686273,34,16
2016,PAN,6006.65,6000,1.0011083333333333,30,13
2023,OLY,6816.983333333334,6800,1.002497549019608,34,16
2025,MUN,7625.0,7600,1.0032894736842106,38,16
2023,TEL,6825.0,6800,1.0036764705882353,34,14
