season,player_code,player_name,age,team,is_traded,games,games_started,start_rate,minutes,min_per_game,sum_pir,pir_per_game
2016,1887,"LANGFORD, KEITH",33,UNK,False,28.0,28.0,1.0,952.7833333333332,34.02797619047619,611.0,21.821428571428573
2016,5838,"WANAMAKER, BRAD",27,DAR,False,30.0,29.0,0.9666666666666667,988.0333333333332,32.93444444444444,524.0,17.466666666666665
2016,2100,"DE COLO, NANDO",29,CSK,False,23.0,18.0,0.782608695652174,629.9166666666666,27.38768115942029,523.0,22.73913043478261
2016,6503,"UDOH, EKPE",29,ULK,False,26.0,20.0,0.7692307692307693,821.0333333333333,31.578205128205127,511.0,19.653846153846153
2016,2849,"MELLI, NICOLO",25,BAM,False,30.0,30.0,1.0,876.7166666666667,29.22388888888889,507.0,16.9
2016,BWI,"JANKUNAS, PAULIUS",32,ZAL,False,30.0,30.0,1.0,709.3833333333333,23.64611111111111,503.0,16.766666666666666
2016,4425,"BROWN, DERRICK",29,IST,False,30.0,30.0,1.0,894.9166666666666,29.830555555555556,500.0,16.666666666666668
2016,6614,"SINGLETON, CHRIS",27,PAN,False,30.0,26.0,0.8666666666666667,846.2833333333333,28.209444444444443,481.0,16.033333333333335
2016,TGB,"LLULL, SERGIO",29,MAD,False,27.0,27.0,1.0,740.05,27.409259259259258,451.0,16.703703703703702
2016,3048,"DUNSTON, BRYANT",30,IST,False,30.0,29.0,0.9666666666666667,878.65,29.288333333333334,448.0,14.933333333333334
2016,7201,"VOIGTMANN, JOHANNES",24,BAS,False,30.0,22.0,0.7333333333333333,699.2,23.30666666666667,447.0,14.9
2016,7200,"LARKIN, SHANE",24,BAS,False,30.0,30.0,1.0,872.6166666666667,29.087222222222223,446.0,14.866666666666667
2016,4119,"TYUS, ALEX",28,GAL,False,30.0,10.0,0.3333333333333333,589.6,19.653333333333332,430.0,14.333333333333334
2016,JDR,"TEODOSIC, MILOS",29,CSK,False,24.0,6.0,0.25,696.1166666666667,29.00486111111111,419.0,17.458333333333332
2016,3479,"KUZMIC, OGNJEN",26,RED,False,30.0,30.0,1.0,620.9166666666666,20.69722222222222,417.0,13.9
2016,3034,"PARAKHOUSKI, ARTSIOM",29,UNK,False,29.0,28.0,0.9655172413793104,618.3666666666667,21.322988505747126,410.0,14.137931034482758
2016,5800,"HONEYCUTT, TYLER",26,IST,False,30.0,1.0,0.03333333333333333,735.5166666666667,24.517222222222223,408.0,13.6
2016,5099,"HANGA, ADAM",27,BAS,False,30.0,28.0,0.9333333333333333,837.9666666666667,27.932222222222222,406.0,13.533333333333333
2016,5929,"DONCIC, LUKA",17,MAD,False,29.0,12.0,0.41379310344827586,565.7,19.50689655172414,403.0,13.89655172413793
2016,KLT,"HEURTEL, THOMAS",27,IST,False,30.0,6.0,0.2,788.3333333333334,26.27777777777778,402.0,13.4
2016,5927,"AYON, GUSTAVO",31,MAD,False,30.0,30.0,1.0,597.2833333333333,19.909444444444443,397.0,13.233333333333333
2016,AMM,"PRINTEZIS, GEORGIOS",31,OLY,False,25.0,25.0,1.0,625.8,25.031999999999996,383.0,15.32
2016,4888,"CLYBURN, WILL",26,DAR,False,30.0,22.0,0.7333333333333333,856.5333333333333,28.55111111111111,380.0,12.666666666666666
2016,6533,"COLOM, QUINO",28,UNK,False,25.0,22.0,0.88,670.2166666666667,26.808666666666667,378.0,15.12
2016,2507,"TOMIC, ANTE",29,BAR,False,29.0,28.0,0.9655172413793104,632.7666666666667,21.819540229885057,377.0,13.0
2016,1932,"CALATHES, NICK",27,PAN,False,30.0,30.0,1.0,825.4,27.513333333333332,375.0,12.5
2016,5757,"RANDOLPH, ANTHONY",27,MAD,False,28.0,9.0,0.32142857142857145,580.5833333333334,20.735119047619047,365.0,13.035714285714286
2016,LRU,"SIMONOVIC, MARKO",30,RED,False,30.0,3.0,0.1,801.7,26.723333333333336,351.0,11.7
2016,925,"VESELY, JAN",26,ULK,False,29.0,21.0,0.7241379310344828,704.2166666666667,24.283333333333335,345.0,11.89655172413793
2016,7182,"BIRCH, KHEM",24,OLY,False,30.0,17.0,0.5666666666666667,547.05,18.235,335.0,11.166666666666666
2016,529,"MICOV, VLADIMIR",31,GAL,False,29.0,26.0,0.896551724137931,845.2,29.144827586206898,331.0,11.413793103448276
2016,494,"GULER, SINAN",33,GAL,False,30.0,29.0,0.9666666666666667,871.4833333333333,29.049444444444443,326.0,10.866666666666667
2016,357,"SCHILB, BLAKE",33,GAL,False,27.0,19.0,0.7037037037037037,689.8666666666667,25.55061728395062,323.0,11.962962962962964
2016,4903,"GOUDELOCK, ANDREW",28,TEL,False,20.0,16.0,0.8,573.3833333333333,28.669166666666666,322.0,16.1
2016,4132,"THEIS, DANIEL",24,BAM,False,30.0,1.0,0.03333333333333333,592.2333333333333,19.741111111111113,320.0,10.666666666666666
2016,1392,"CAUSEUR, FABIEN",29,BAM,False,29.0,29.0,1.0,732.85,25.270689655172415,319.0,11.0
