season,club,budget,q_club,q_free,q_cap,lp_free,lp_cap,n_free,n_cap,u_free,u_cap,adv_free,adv_cap,overlap
2024,ASV,15.250283115149077,100.75366166402485,124.06548210957996,106.0259688512385,126.22921475031472,123.2118704137965,12,12,24.47298950729133,20.000000005416474,0.23137442412059595,0.05232869059185963,8
2024,BAR,17.785828832068283,107.2047391464168,124.81733945795824,118.08228130967261,131.1446226836941,128.50545667144186,12,12,25.012129229849336,19.99999999814728,0.1642893817174138,0.10146512411545183,7
2024,BAS,14.257044574225803,105.17839559611767,119.32210327469701,113.6648020212324,124.25936377262502,121.46720948197233,12,12,24.507607041568324,19.82795426937155,0.13447350664000268,0.08068583264668083,7
2024,BER,15.850780091742623,91.65478216166753,122.71805798417475,123.03165468859596,127.37744034980257,124.95630054052802,12,12,24.343443828275284,19.770008229728955,0.33891604005686804,0.34233753860855365,8
2024,IST,17.39564294376784,112.23118917550518,128.61832557396497,122.83634122019083,130.58791890820245,127.38745101470039,12,12,25.28985528618635,20.000000007489437,0.146012320807132,0.09449380446376177,7
2024,MAD,19.261832587844438,106.33832534382056,123.47216557636985,121.87843788516157,133.5515814906371,129.02033258416316,12,12,25.180540642811273,19.99999999070629,0.16112572938449943,0.14613839827828423,4
2024,MCO,16.326708537093523,103.02263323293865,127.70780808123948,117.24219638848477,128.3632259589982,126.27213283236748,12,12,23.330498658887137,19.99999999988756,0.23960923996658656,0.1380236818777003,8
2024,MIL,18.017309574759572,105.29226544130543,130.7673099817641,114.8717503084922,131.50891095248517,128.69765049433667,12,12,25.405699591030597,19.999999998092992,0.24194601981148933,0.09097994830899325,7
2024,MUN,13.04776138608284,103.44085006467614,115.79739989361806,107.05102445730704,121.53391646564477,117.80196946181121,12,12,25.25402166388222,19.916798564901168,0.11945522316585788,0.034900857740183255,7
2024,OLY,19.93064803700436,114.07006047013122,120.11001003176062,122.66155275799002,133.9961790055344,129.02033258416316,12,12,24.58226011366089,19.99999999070629,0.05294947277783679,0.0753176797877515,5
2024,PAN,19.010586532359113,116.4923567338546,115.32281331581845,120.38291630863581,132.96100634840877,129.02033258416316,12,12,24.512524760398218,19.99999999070629,-0.010039657972652827,0.03339755228465169,6
2024,PAR,13.663122369446011,100.8873786847468,118.24804193689268,115.50217857561992,122.48670308080051,119.8219860846183,12,12,25.383492895150372,19.955099824446567,0.1720796345239033,0.14486251978596343,6
2024,PRS,13.287523895807656,101.07963265572403,118.7562431988717,101.8446159540593,121.69778873499854,118.54662981656284,12,12,23.84865642265844,19.872947522877862,0.17487806473687928,0.0075681250340589035,8
2024,RED,14.64856929308144,102.70310886657074,115.44978125707206,120.67805430117049,124.84858560093045,122.07234139542669,12,12,25.230074131527697,20.000000023090944,0.12411184560207889,0.17501851339234853,7
2024,TEL,16.008862304633407,103.96548827991204,131.3922840605706,122.7114445930332,127.83323361519413,125.27100752895957,12,12,23.72226961551303,20.0000000097588,0.2638067327382323,0.18030941443424364,9
2024,ULK,21.17607053510112,96.2430708049876,127.30641537431462,122.97727989758809,134.55885808593922,129.02033258416316,12,13,24.638853400279025,19.99999999070629,0.3227592834425357,0.27777801424032544,5
2024,VIR,14.966382829156883,100.32940087886014,128.896429023615,118.60158259688673,125.74889507017159,122.95811016100836,12,12,24.398387643112642,20.000000003811984,0.28473237051666755,0.18212190602123512,7
2024,ZAL,14.373159542520888,93.63259775687106,119.32210327469701,113.97878635453176,124.25936377262502,121.52513546303547,12,12,24.507607041568324,19.85354768062442,0.2743649768698291,0.21729813211518656,7
2025,ASV,12.653199353556696,83.88323461171942,112.57738539674243,119.12730049050191,123.3967368516099,118.95195331432024,12,12,25.505292714620172,19.99999997094439,0.34207253592262066,0.4201562569912929,7
2025,BAR,18.840149659585016,101.95399526052351,127.92735511299112,135.30038876265536,139.1608089016284,128.87870782677456,12,12,27.641049306505426,19.99999998007379,0.25475568452317887,0.32707294517416075,6
2025,BAS,17.441834766054342,104.35555433358081,125.37905109151069,128.465334185904,137.80052393481222,127.16712540451601,12,12,25.627010919361737,19.759617262392307,0.20146025664073997,0.2310349459239549,5
2025,DUB,17.37370256743635,112.98495427241697,125.37905109151069,128.465334185904,137.80052393481222,127.16712540451601,12,12,25.627010919361737,19.759617262392307,0.1096968786588206,0.13701275548744674,5
2025,HTA,18.919579862823614,110.0969663196915,127.9237671143559,126.08806233486406,139.1608089016284,128.94235359816747,12,12,27.641049306505426,19.999999979024466,0.1619190917840574,0.14524556443034764,5
2025,IST,17.664539964542104,91.85436212782773,127.38766993006583,124.03657207883221,138.22877722323065,127.78680959237222,12,12,27.263824519714387,19.999999984413535,0.38684398845194434,0.35036125890481506,4
2025,MAD,17.772940762715002,119.0759325037891,124.33942947986412,123.10256381181442,138.39876526342815,128.1205296918949,12,12,28.00461813173259,19.989528258652065,0.04420286169841692,0.0338156605063511,5
2025,MCO,16.64519013186443,110.94063957944178,124.41126691515007,113.30477854720581,136.38665617812651,126.61386191283633,12,12,26.649362252372693,20.000000002662702,0.1214219368733882,0.021309945361105864,5
2025,MIL,18.11575292695087,102.92664356297863,128.92076713136228,129.92551883978985,139.0357227422993,128.54891827699507,12,12,27.520915344664573,19.9999999986101,0.25254999744044326,0.2623118207511661,6
2025,MUN,12.730885465643025,93.97243664141058,115.38173536038249,118.92979038058233,123.80110831525424,119.1287189616308,12,12,25.405353043246528,19.999999960228493,0.22782530158995073,0.26558163894809406,7
2025,OLY,25.26467729042303,124.96879873559902,129.76378453738326,140.1726136325172,143.19848880745866,129.62163871183316,12,12,26.231156101431367,19.999999993662183,0.0383694638205585,0.12166088696335664,5
2025,PAM,14.628183706269548,112.10958356759087,116.27074993428695,114.96604083814563,131.38935963501237,123.82390449107838,12,12,27.75362560131071,19.999999980759757,0.0371169549852739,0.025479153339576843,6
2025,PAN,22.992347467289513,109.09160299643439,129.55767286730105,140.1726136325172,143.19848880745866,129.6088212016383,12,12,26.231156101431367,20.000000005147275,0.18760444716845526,0.28490745192458733,4
